date,set,type,name,market_price,low_price,high_price,source_url
2026-06-25,Team Up,Booster Box,Team Up Booster Box,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/team-up-booster-box
2026-06-25,Cosmic Eclipse,Booster Box,Cosmic Eclipse Booster Box,3840.66,3989.01,10000.0,https://www.pokeinsight.com/sealed-products/cosmic-eclipse-booster-box
2026-06-25,Evolving Skies,Booster Box,Evolving Skies Booster Box,2613.31,2200.0,12000.0,https://www.pokeinsight.com/sealed-products/evolving-skies-booster-box
2026-06-25,Unified Minds,Booster Box,Unified Minds Booster Box,2576.78,2999.97,9000.0,https://www.pokeinsight.com/sealed-products/unified-minds-booster-box
2026-06-25,Unbroken Bonds,Booster Box,Unbroken Bonds Booster Box,2407.47,2391.01,7899.95,https://www.pokeinsight.com/sealed-products/unbroken-bonds-booster-box
2026-06-25,Lost Thunder,Booster Box,Lost Thunder Booster Box,1608.33,1450.0,4897.95,https://www.pokeinsight.com/sealed-products/lost-thunder-booster-box
2026-06-25,Fusion Strike,Booster Box,Fusion Strike Booster Box,990.5,984.99,3000.0,https://www.pokeinsight.com/sealed-products/fusion-strike-booster-box
2026-06-25,Lost Origin,Booster Box,Lost Origin Booster Box,718.94,715.0,2500.0,https://www.pokeinsight.com/sealed-products/lost-origin-booster-box
2026-06-25,Sword Shield,Booster Box,Sword & Shield Booster Box,680.56,644.99,1200.0,https://www.pokeinsight.com/sealed-products/sword-shield-booster-box
2026-06-25,Brilliant Stars,Booster Box,Brilliant Stars Booster Box,592.54,590.0,5000.0,https://www.pokeinsight.com/sealed-products/brilliant-stars-booster-box
2026-06-25,Destined Rivals,Booster Box,Destined Rivals Booster Box,581.79,585.0,2185.0,https://www.pokeinsight.com/sealed-products/destined-rivals-booster-box
2026-06-25,Rebel Clash,Booster Box,Rebel Clash Booster Box,499.02,474.98,1200.0,https://www.pokeinsight.com/sealed-products/rebel-clash-booster-box
2026-06-25,Chilling Reign,Booster Box,Chilling Reign Booster Box,491.49,480.0,1825.0,https://www.pokeinsight.com/sealed-products/chilling-reign-booster-box
2026-06-25,Silver Tempest,Booster Box,Silver Tempest Booster Box,460.04,455.0,9999.99,https://www.pokeinsight.com/sealed-products/silver-tempest-booster-box
2026-06-25,Paldea Evolved,Booster Box,Paldea Evolved Booster Box,445.42,433.0,2385.0,https://www.pokeinsight.com/sealed-products/paldea-evolved-booster-box
2026-06-25,Astral Radiance,Booster Box,Astral Radiance Booster Box,384.79,360.0,899.99,https://www.pokeinsight.com/sealed-products/astral-radiance-booster-box
2026-06-25,Phantasmal Flames,Booster Box,Phantasmal Flames Booster Box,384.78,400.0,1200.0,https://www.pokeinsight.com/sealed-products/phantasmal-flames-booster-box
2026-06-25,Obsidian Flames,Booster Box,Obsidian Flames Booster Box,367.23,375.0,1000.0,https://www.pokeinsight.com/sealed-products/obsidian-flames-booster-box
2026-06-25,Twilight Masquerade,Booster Box,Twilight Masquerade Booster Box,339.15,329.99,1350.0,https://www.pokeinsight.com/sealed-products/twilight-masquerade-booster-box
2026-06-25,Darkness Ablaze,Booster Box,Darkness Ablaze Booster Box,325.53,329.95,1000.0,https://www.pokeinsight.com/sealed-products/darkness-ablaze-booster-box
2026-06-25,Stellar Crown,Booster Box,Stellar Crown Booster Box,308.38,290.0,9999.99,https://www.pokeinsight.com/sealed-products/stellar-crown-booster-box
2026-06-25,Mega Evolution,Booster Box,Mega Evolution Booster Box,301.91,299.99,500.0,https://www.pokeinsight.com/sealed-products/mega-evolution-booster-box
2026-06-25,Mega Evolution,Booster Box,Mega Evolution Enhanced Booster Box,294.56,286.0,2999.99,https://www.pokeinsight.com/sealed-products/mega-evolution-enhanced-booster-box
2026-06-25,Vivid Voltage,Booster Box,Vivid Voltage Booster Box,292.22,284.99,1000.0,https://www.pokeinsight.com/sealed-products/vivid-voltage-booster-box
2026-06-25,Temporal Forces,Booster Box,Temporal Forces Booster Box,291.19,299.0,500.0,https://www.pokeinsight.com/sealed-products/temporal-forces-booster-box
2026-06-25,Journey Together,Booster Box,Journey Together Booster Box,277.82,290.0,558.43,https://www.pokeinsight.com/sealed-products/journey-together-booster-box
2026-06-25,Paradox Rift,Booster Box,Paradox Rift Booster Box,276.33,265.99,1000.0,https://www.pokeinsight.com/sealed-products/paradox-rift-booster-box
2026-06-25,Journey Together,Booster Box,Journey Together Enhanced Booster Box,261.08,250.0,5000.0,https://www.pokeinsight.com/sealed-products/journey-together-enhanced-booster-box
2026-06-25,Battle Styles,Booster Box,Battle Styles Booster Box,257.1,249.99,1100.0,https://www.pokeinsight.com/sealed-products/battle-styles-booster-box
2026-06-25,Surging Sparks,Booster Box,Surging Sparks Booster Box,255.75,245.0,4999.99,https://www.pokeinsight.com/sealed-products/surging-sparks-booster-box
2026-06-25,Destined Rivals,Booster Box,Destined Rivals Half Booster Box,253.58,275.0,275.0,https://www.pokeinsight.com/sealed-products/destined-rivals-half-booster-box
2026-06-25,Scarlet Violet,Booster Box,Scarlet & Violet Booster Box,250.34,246.0,3250.0,https://www.pokeinsight.com/sealed-products/scarlet-violet-booster-box
2026-06-25,Temporal Forces,Booster Box,Temporal Forces Half Booster Box Price unavailable,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/temporal-forces-half-booster-box
2026-06-25,Journey Together,Booster Box,Journey Together Half Booster Box Price unavailable,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/journey-together-half-booster-box
2026-06-25,Stellar Crown,Booster Box,Stellar Crown Half Booster Box Price unavailable Updated 4/19/2026,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/stellar-crown-half-booster-box
2026-06-25,Mega Evolution,Booster Box,Mega Evolution Half Booster Box Price unavailable,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/mega-evolution-half-booster-box
2026-06-25,Scarlet Violet,Booster Box,Scarlet & Violet Half Booster Box Price unavailable,10941.94,11500.0,14999.99,https://www.pokeinsight.com/sealed-products/scarlet-violet-half-booster-box
2026-06-25,151 Case,ETB,151 Elite Trainer Box Case,4765.45,6550.99,9000.0,https://www.pokeinsight.com/sealed-products/151-elite-trainer-box-case
2026-06-25,Evolving Skies Case,ETB,Evolving Skies Elite Trainer Box Case,3950.0,6399.99,6400.0,https://www.pokeinsight.com/sealed-products/evolving-skies-elite-trainer-box-case
2026-06-25,Team Up,ETB,Team Up Elite Trainer Box,3224.54,4194.99,5600.0,https://www.pokeinsight.com/sealed-products/team-up-elite-trainer-box
2026-06-25,Paldean Fates Case,ETB,Paldean Fates Elite Trainer Box Case,3088.71,3978.97,4999.99,https://www.pokeinsight.com/sealed-products/paldean-fates-elite-trainer-box-case
2026-06-25,Celebrations Case,ETB,Celebrations Elite Trainer Box Case,2988.68,3879.89,19000.0,https://www.pokeinsight.com/sealed-products/celebrations-elite-trainer-box-case
2026-06-25,Crown Zenith Case,ETB,Crown Zenith Elite Trainer Box Case,2795.51,3499.95,4999.99,https://www.pokeinsight.com/sealed-products/crown-zenith-elite-trainer-box-case
2026-06-25,Prismatic Evolutions Pokemon Center Exclusive Case,ETB,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive) Case,2364.94,2900.0,15000.0,https://www.pokeinsight.com/sealed-products/prismatic-evolutions-pokemon-center-elite-trainer-box-exclusive-case
2026-06-25,Crown Zenith Pokemon Center Plus Case,ETB,Crown Zenith Pokemon Center Elite Trainer Box Plus Case,1939.75,2499.99,5000.0,https://www.pokeinsight.com/sealed-products/crown-zenith-pokemon-center-elite-trainer-box-plus-case
2026-06-25,Unified Minds,ETB,Unified Minds Elite Trainer Box,1927.69,1949.0,5000.0,https://www.pokeinsight.com/sealed-products/unified-minds-elite-trainer-box
2026-06-25,Evolving Skies Pokemon Center Set Of 2 Exclusive,ETB,Evolving Skies Pokemon Center Elite Trainer Box [Set of 2] (Exclusive),1870.99,2490.0,4999.0,https://www.pokeinsight.com/sealed-products/evolving-skies-pokemon-center-elite-trainer-box-set-of-2-exclusive
2026-06-25,Prismatic Evolutions Case,ETB,Prismatic Evolutions Elite Trainer Box Case,1834.3,1859.9,3999.95,https://www.pokeinsight.com/sealed-products/prismatic-evolutions-elite-trainer-box-case
2026-06-25,Obsidian Flames Case,ETB,Obsidian Flames Elite Trainer Box Case,1796.4,2650.0,2750.0,https://www.pokeinsight.com/sealed-products/obsidian-flames-elite-trainer-box-case
2026-06-25,Cosmic Eclipse,ETB,Cosmic Eclipse Elite Trainer Box,1693.75,2000.0,2000.0,https://www.pokeinsight.com/sealed-products/cosmic-eclipse-elite-trainer-box
2026-06-25,Celebrations Pokemon Center Case Exclusive,ETB,Celebrations Pokemon Center Elite Trainer Box Case (Exclusive),1672.89,2493.88,10000.0,https://www.pokeinsight.com/sealed-products/celebrations-pokemon-center-elite-trainer-box-case-exclusive
2026-06-25,Lost Origin Case,ETB,Lost Origin Elite Trainer Box Case,1657.59,1998.94,2549.49,https://www.pokeinsight.com/sealed-products/lost-origin-elite-trainer-box-case
2026-06-25,Destined Rivals Case,ETB,Destined Rivals Elite Trainer Box Case,1561.31,2288.0,4000.0,https://www.pokeinsight.com/sealed-products/destined-rivals-elite-trainer-box-case
2026-06-25,Paldea Evolved Case,ETB,Paldea Evolved Elite Trainer Box Case,1558.48,1800.0,2500.0,https://www.pokeinsight.com/sealed-products/paldea-evolved-elite-trainer-box-case
2026-06-25,Brilliant Stars Case,ETB,Brilliant Stars Elite Trainer Box Case,1398.65,1665.0,2000.0,https://www.pokeinsight.com/sealed-products/brilliant-stars-elite-trainer-box-case
2026-06-25,151 Pokemon Center Exclusive,ETB,151 Pokemon Center Elite Trainer Box (Exclusive),1387.35,1360.0,10000.0,https://www.pokeinsight.com/sealed-products/151-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Paradox Rift Case,ETB,Paradox Rift Elite Trainer Box Case,1299.0,1297.95,1399.99,https://www.pokeinsight.com/sealed-products/paradox-rift-elite-trainer-box-case
